Language,Glot500,SeamlessM4T,NLLB,Qwen,LLAMA,GPT-2,r50k_base,p50k_base,p50k_edit,cl100k_base,RoBERTa,GottBERT,CamemBERT,PhoBERT,RoCBert,XLM-RoBERTa,M2M100,MBart50,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT,MuRIL,UTF-32,BERT Japanese
Slovak,68907,71965,71964,111754,110381,132406,132406,132406,132406,112877,132406,130351,128214,121835,221546,70420,78465,70421,85374,158343,283449,260044,106872,130514,95243,260044,121069
Slovenian,65921,69815,69814,100386,101022,111123,111123,111123,111123,99575,111123,114890,115649,110608,218816,67649,75111,67650,78923,140116,264297,258309,96182,132122,94182,258309,134145
Samoan,95096,95014,95013,121468,129483,135286,135286,135286,135286,121040,135286,133154,130690,124947,235821,114297,113938,114298,126188,179105,315363,301267,113270,151254,119932,301267,159873
Shona,72746,72952,72951,113155,121551,120455,120455,120455,120455,112401,120455,124984,126390,120317,256147,97431,99977,97432,88729,161542,290272,290236,95881,149383,111107,290236,153133
Sindhi,74722,79450,79449,154039,254901,262974,262974,262974,262974,211562,262974,412078,101026,184033,87161,76539,82308,76540,114413,101046,414811,234918,133480,86905,65560,234918,53907
Somali,78739,82484,82483,116113,129624,123967,123967,123967,123967,115377,123967,130693,135538,123653,250484,82896,87135,82897,97328,177052,296373,295873,108016,146788,110739,295873,156858
Southern Sotho,83683,82872,82871,117881,125656,123024,123024,123024,123024,116991,123024,129269,131043,123654,255719,106299,101495,106300,104203,168891,312773,312241,104296,154957,116440,312241,159136
Spanish,69568,73810,73809,81882,88191,104549,104549,104548,104548,81735,104549,114094,115325,113958,257284,71459,76775,71460,86318,128905,314077,308284,64466,132786,106948,308284,145418
Sardinian,84494,85949,85948,105828,110604,118821,118821,118821,118821,105258,118821,121127,118457,116701,251257,95752,95788,95753,103494,142414,309950,301401,92156,133157,106888,301401,140989
Serbian,67721,74105,74104,125657,104764,280731,280731,280725,280725,154192,280731,269463,156248,204589,163030,70646,79791,70647,85556,194005,466463,257321,136830,164311,124028,257321,46732
Swati,74629,76304,76303,114866,123014,121681,121681,121677,121677,114096,121681,125659,128417,121453,260765,96139,91104,96140,92890,162234,291685,291628,97063,149923,112753,291628,156659
Sundanese,63208,62122,62121,96859,106853,106071,106071,106071,106071,96166,106071,110038,111251,103720,231104,73021,69744,73022,80459,134315,272644,269967,78474,128625,96990,269967,135056
Swedish,62407,67121,67120,84137,87331,102557,102557,102489,102489,83368,102557,96202,113476,109778,220619,63927,69772,63928,73261,128558,271024,260666,87945,116462,102548,260666,123549
Swahili,64762,67338,67337,103879,112503,112044,112044,112044,112044,103109,112044,117978,114281,110022,230132,69335,76352,69336,82050,154117,272166,271792,66080,139702,100565,271792,147678
Silesian,87090,90503,90502,112347,118289,136571,136571,136571,136571,115365,136571,137368,136327,133069,214742,98456,100997,98457,103492,166242,285706,269821,114749,146209,116074,269821,134349
Tamil,79242,84397,84403,330563,355883,819110,819110,819084,819084,404265,819110,819443,71205,267457,41143,80444,98132,80445,82947,71190,822452,302271,67792,39935,57000,302271,39451
Tamasheq (Latin script),93924,90319,90318,106730,116960,125394,125394,125394,125394,117339,125394,127786,120090,107965,178063,101928,99757,101929,107584,147324,262500,245729,100840,106531,76705,245729,107362
Tamasheq (Tifinagh script),237050,144946,144945,288745,510654,548473,548473,548473,548473,535378,548473,548700,119369,199613,83443,119320,118946,119321,236215,90673,593545,244280,411636,125317,80737,244280,81361
Tatar,67299,71947,71946,154627,153339,305861,305861,305861,305861,198081,305861,303215,126070,217763,146263,107718,97435,107719,92640,201698,479926,262636,167238,148212,110755,262636,42534
Telugu,77493,79601,79614,379097,649151,688151,688151,688126,688126,440831,688151,688897,73242,224597,42936,79091,92140,79092,93592,73166,694562,261716,70848,40829,65209,261716,41538
Tajik,79517,93418,93417,155839,163818,320045,320045,320045,320045,192259,320045,315920,196021,235753,178938,127526,130315,127527,106398,222852,521168,287415,174935,230544,120176,287415,50929
Tagalog,76953,79728,79727,109797,121365,119822,119822,119658,119658,108909,119822,128762,134171,121010,273629,85423,90331,85424,95719,165047,326793,326630,98578,150059,112334,326630,165309
Thai,64191,90496,90495,139000,263883,475633,475633,475632,475632,231995,475633,520076,17546,236002,14809,64512,80663,64513,64898,17552,713841,248859,246116,19953,10599,248859,119386
Tigrinya,95989,85983,85982,227816,453072,414484,414484,414484,414484,412308,414484,414536,77416,139662,44467,117506,121172,117507,133644,77423,454149,178958,274296,43509,43384,178958,40420
Tok Pisin,81981,82689,82688,108681,118350,116032,116032,116032,116032,107799,116032,122346,133519,121212,269513,102949,104877,102950,108762,159801,331464,331192,102258,155553,113268,331192,162326
Tswana,89422,86393,86392,121551,128647,125587,125587,125587,125587,120710,125587,132720,134201,129455,262020,110661,106750,110662,110234,173957,323250,322918,107602,155913,121139,322918,162717
Tsonga,80937,77204,77203,119977,131007,128795,128795,128795,128795,119187,128795,134248,136016,122354,257578,106752,106802,106753,105816,181153,312392,310434,106783,158885,117943,310434,169911
Turkmen,79545,80738,80737,117943,134933,148036,148036,148036,148036,127012,148036,138738,142456,135583,240203,106090,108524,106091,110577,166347,303011,275172,116601,138788,82733,275172,98543
Tumbuka,81988,85160,85159,134887,149065,146210,146210,146210,146210,135756,146210,152556,148078,139306,290363,114679,118850,114680,105756,190205,342449,338139,116690,172660,116804,338139,165582
Turkish,60391,67690,67689,86634,126485,127797,127797,127797,127797,101176,127797,126681,132058,126042,180958,61972,72580,61973,73434,154269,289924,266383,104088,139867,99569,266383,123214
Twi,75382,74503,74502,115589,122049,137471,137471,137471,137471,132821,137471,141707,126182,115474,173917,112411,110223,112412,112189,164908,273291,253416,96323,100888,80651,253416,144273
Central Atlas Tamazight,228778,122470,122469,273577,537362,546058,546058,546058,546058,530718,546058,545844,92474,186053,50900,92349,92314,92350,228864,92483,591767,231581,408891,129471,49561,231581,49590
Uyghur,80888,83572,83571,200809,296368,376366,376366,376366,376366,274341,376366,507965,72619,239537,46133,83957,190015,83958,168749,72598,511363,276109,194931,123299,79490,276109,39382
Ukrainian,70293,76268,76267,134973,104477,302058,302058,302053,302053,158296,302058,291269,147881,215613,203693,71931,81306,71932,87227,200470,483479,265408,146145,226342,102189,265408,45862
Umbundu,76639,76912,76911,106054,114293,117580,117580,117580,117580,106384,117580,121024,118998,113677,227635,93947,94237,93948,96604,157321,271523,262904,92708,140549,104492,262904,137958
Urdu,71371,77542,77541,171428,264871,331280,331280,331278,331278,231974,331280,452920,109138,200807,71900,73620,82182,73621,99921,109199,455529,256560,72171,140013,67978,256560,58740
Northern Uzbek,75939,78590,78589,115296,123342,120831,120831,120831,120831,114577,120831,128551,127816,123290,257429,79559,87115,79560,90504,161946,293473,293146,105295,152589,114395,293146,158219
Venetian,73742,76944,76943,90058,94842,105316,105316,105316,105316,89961,105316,108907,107443,102465,195878,81416,83014,81417,89580,128185,273797,261537,83714,119988,99461,261537,127037
Vietnamese,69479,70311,70310,75956,177067,238544,238544,238544,238544,129258,238544,241285,167208,69628,212672,70314,72894,70315,128452,210805,360436,272596,67335,133327,95986,272596,100976
Waray,80201,81044,81043,103879,122225,125136,125136,125136,125136,103003,125136,127028,133122,118966,269575,92332,92160,92333,95050,153866,323306,323168,95906,153943,116083,323168,156697
Wolof,77791,78270,78269,101761,108965,112432,112432,112432,112432,101369,112432,117841,114816,107121,200594,95168,88570,95169,94966,151584,258805,249234,89305,123622,104207,249234,130362
Xhosa,73817,72019,72018,109564,119498,119033,119033,119033,119033,108969,119033,123648,125740,116871,244331,89389,86598,89390,88735,157869,275162,274900,88866,146904,110840,274900,149963
Eastern Yiddish,92323,100495,100494,148590,277119,348452,348452,348447,348447,294166,348452,500081,96376,231663,54220,94121,101844,94122,109303,96308,503003,278746,235209,232041,53311,278746,52693
Yoruba,87166,90721,90719,144679,163476,204447,204447,204447,204447,156430,204447,207890,153502,138921,189973,135479,110007,135480,135311,191106,332203,251232,87077,119607,90969,251232,118110
Yue Chinese,55350,62631,62630,62695,127757,162457,162457,162457,162457,111948,162457,219180,13247,74583,76927,55486,65409,55487,62583,13056,225376,80134,49618,74913,74441,80134,56593
Chinese (Simplified),57638,66160,66159,57735,121054,168850,168850,168850,168850,101138,168850,231200,16920,79501,83317,57887,66386,57888,60193,16694,240075,87445,50330,80224,79320,87445,56652
Chinese (Traditional),57155,64435,64434,65066,131234,165883,165883,165883,165883,114977,165883,223346,13692,75813,78103,57297,67258,57298,64529,13564,229715,81884,51471,76225,75800,81884,58453
Standard Malay,54977,57307,57306,86477,110647,107633,107633,107633,107633,85585,107633,112462,116301,107182,249178,56764,63455,56765,73097,134140,289645,288891,56793,133623,96834,288891,140806
Zulu,73661,73552,73551,116907,126865,126593,126593,126593,126593,116322,126593,130363,131628,123210,259878,92688,85533,92689,92182,164151,291196,290777,93438,156409,116080,290777,158734
